HF:Financing scheme,HC:Function,HP:Provider,LOCATION:Country,TIME:Year,MSR:Value
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,AUT:Austria,2010,4261.055
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,AUT:Austria,2011,4345.16
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,AUT:Austria,2012,4588.344
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,AUT:Austria,2013,4767.085
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,AUT:Austria,2014,4858.33
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,AUT:Austria,2015,4943.515
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,AUT:Austria,2016,5195.531
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,AUT:Austria,2017,5315.353
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,AUT:Austria,2018,5544.767
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,AUT:Austria,2019,5705.102
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,AUT:Austria,2020,5899.139
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,BEL:Belgium,2010,3922.228
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,BEL:Belgium,2011,4065.113
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,BEL:Belgium,2012,4243.908
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,BEL:Belgium,2013,4435.931
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,BEL:Belgium,2014,4588.226
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,BEL:Belgium,2015,4654.247
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,BEL:Belgium,2016,5003.902
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,BEL:Belgium,2017,5136.174
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,BEL:Belgium,2018,5358.892
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,BEL:Belgium,2019,5458.401
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,ISR:Israel,2010,1974.785
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,ISR:Israel,2011,2081.778
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,ISR:Israel,2012,2223.345
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,ISR:Israel,2013,2238.455
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,ISR:Israel,2014,2237.584
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,ISR:Israel,2015,2310.019
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,ISR:Israel,2016,2524.083
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,ISR:Israel,2017,2626.181
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,ISR:Israel,2018,2836.329
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,ISR:Israel,2019,2903.412
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP1:Hospitals,AUT:Austria,2010,1652.828
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP1:Hospitals,AUT:Austria,2011,1685.347
