freq,unit,geo\TIME_PERIOD	2008-01 	2008-02 	2008-03 	2008-04 	2008-05 	2008-06 	2008-07 	2008-08 	2008-09 	2008-10 	2008-11 	2008-12 	2009-01 	2009-02 	2009-03 	2009-04 	2009-05 	2009-06 	2009-07 	2009-08 	2009-09 	2009-10 	2009-11 	2009-12 	2010-01 	2010-02 	2010-03 	2010-04 	2010-05 	2010-06 	2010-07 	2010-08 	2010-09 	2010-10 	2010-11 	2010-12 	2011-01 	2011-02 	2011-03 	2011-04 	2011-05 	2011-06 	2011-07 	2011-08 	2011-09 	2011-10 	2011-11 	2011-12 	2012-01 	2012-02 	2012-03 	2012-04 	2012-05 	2012-06 	2012-07 	2012-08 	2012-09 	2012-10 	2012-11 	2012-12 	2013-01 	2013-02 	2013-03 	2013-04 	2013-05 	2013-06 	2013-07 	2013-08 	2013-09 	2013-10 	2013-11 	2013-12 	2014-01 	2014-02 	2014-03 	2014-04 	2014-05 	2014-06 	2014-07 	2014-08 	2014-09 	2014-10 	2014-11 	2014-12 	2015-01 	2015-02 	2015-03 	2015-04 	2015-05 	2015-06 	2015-07 	2015-08 	2015-09 	2015-10 	2015-11 	2015-12 	2016-01 	2016-02 	2016-03 	2016-04 	2016-05 	2016-06 	2016-07 	2016-08 	2016-09 	2016-10 	2016-11 	2016-12 	2017-01 	2017-02 	2017-03 	2017-04 	2017-05 	2017-06 	2017-07 	2017-08 	2017-09 	2017-10 	2017-11 	2017-12 	2018-01 	2018-02 	2018-03 	2018-04 	2018-05 	2018-06 	2018-07 	2018-08 	2018-09 	2018-10 	2018-11 	2018-12 	2019-01 	2019-02 	2019-03 	2019-04 	2019-05 	2019-06 	2019-07 	2019-08 	2019-09 	2019-10 	2019-11 	2019-12 	2020-01 	2020-02 	2020-03 	2020-04 	2020-05 	2020-06 	2020-07 	2020-08 	2020-09 	2020-10 	2020-11 	2020-12 	2021-01 	2021-02 	2021-03 	2021-04 	2021-05 	2021-06 	2021-07 	2021-08 
M,GWH,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	588.34 	542.05 	564.34 	465.57 	476.89 	479.55 	517.48 	550.17 	475.65 	497.16 	528.98 	653.74 	631.70 	545.85 	559.64 	528.04 	518.80 	527.61 	550.73 	578.11 	493.02 	465.22 	495.91 	601.75 	620.44 	576.75 	543.26 	474.19 	476.00 	481.08 	530.68 	540.98 	507.92 	511.87 	558.85 	664.89 	656.63 	597.97 	617.12 	594.41 	540.12 	547.89 	616.09 	: 
M,PCH_LV_M_16-19,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.46 	6.40 	-2.93 	1.85 	-0.19 	0.32 	2.55 	-1.67 	6.78 	10.03 	12.69 	10.49 	11.61 	10.32 	10.27 	27.68 	13.26 	14.25 	19.06 	: 
M,PCH_M12_NSA,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.37 	0.70 	-0.83 	13.42 	8.79 	10.02 	6.43 	5.08 	3.65 	-6.42 	-6.25 	-7.95 	-1.78 	5.66 	-2.93 	-10.20 	-8.25 	-8.82 	-3.64 	-6.42 	3.02 	10.03 	12.69 	10.49 	5.83 	3.68 	13.60 	25.35 	13.47 	13.89 	16.09 	: 
M,GWH,AT	6187.00 	5725.00 	5878.00 	5438.00 	5218.00 	5210.00 	5297.00 	5086.00 	5343.00 	5630.00 	5634.00 	5786.00 	6083.00 	5474.00 	5719.00 	4883.00 	4896.00 	4846.00 	5052.00 	4871.00 	5075.00 	5486.00 	5577.00 	5960.00 	6191.00 	5617.00 	5900.00 	5230.00 	5165.00 	5116.00 	5255.00 	5101.00 	5255.00 	5647.00 	5771.00 	6362.00 	6236.00 	5723.00 	6003.00 	5228.00 	5294.00 	5070.00 	5264.00 	5229.00 	5307.00 	5600.00 	5814.00 	6042.00 	6184.00 	6184.00 	5881.00 	5298.00 	5245.00 	5172.00 	5318.00 	5243.00 	5200.00 	5629.00 	5744.00 	6126.00 	6338.00 	5812.00 	6103.00 	5422.00 	5241.00 	5204.00 	5360.00 	5209.00 	5283.00 	5747.00 	5890.00 	6100.00 	6237.00 	5652.00 	5839.00 	5360.00 	5362.00 	5152.00 	5409.00 	5180.00 	5364.00 	5690.00 	5693.00 	6072.00 	6340.00 	5857.00 	6044.00 	5395.00 	5334.00 	5260.00 	5450.00 	5294.00 	5371.00 	5666.00 	5843.00 	6067.00 	6397.00 	5888.00 	6067.00 	5361.00 	5324.00 	5317.00 	5360.00 	5229.00 	5341.00 	5777.00 	6097.00 	6372.00 	6487.45 	5573.77 	5701.38 	5137.28 	5091.38 	5001.53 	5128.01 	5100.82 	5204.86 	5416.88 	5829.19 	6044.64 	6112.77 	5784.10 	6142.65 	5088.12 	5128.40 	5104.72 	5155.17 	5158.12 	5080.33 	5500.70 	5747.57 	6077.26 	6392.33 	5573.69 	5765.68 	5245.66 	5355.76 	5028.37 	5238.94 	5108.13 	5129.62 	5510.26 	5692.27 	5970.17 	6191.46 	5637.26 	5536.45 	4553.69 	4748.62 	4715.88 	5016.11 	4984.92 	5070.66 	5569.59 	5653.94 	5948.68 	6061.71 	5417.16 	5837.98 	5292.22 	5200.38 	5139.67 	5238.89 	: 
M,PCH_LV_M_16-19,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.29 	1.14 	-2.89 	-10.50 	-6.73 	-5.71 	-2.18 	-2.27 	-0.19 	2.82 	-0.67 	-0.36 	-0.84 	-2.81 	2.40 	4.01 	2.14 	2.76 	2.16 	: 
M,PCH_M12_NSA,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-1.68 	-4.38 	-2.71 	-10.21 	-6.17 	-6.99 	-4.63 	-4.23 	-5.02 	-2.56 	-1.01 	3.01 	1.78 	2.61 	3.16 	7.11 	5.49 	5.57 	4.02 	4.72 	3.55 	2.93 	3.48 	6.74 	0.73 	1.89 	1.75 	-0.04 	2.50 	-0.90 	0.17 	2.51 	0.99 	-0.83 	0.75 	-5.03 	-0.83 	8.06 	-2.03 	1.34 	-0.93 	2.01 	1.03 	0.27 	-2.02 	0.52 	-1.20 	1.39 	2.49 	-6.02 	3.77 	2.34 	-0.08 	0.62 	0.79 	-0.65 	1.60 	2.10 	2.54 	-0.42 	-1.59 	-2.75 	-4.33 	-1.14 	2.31 	-1.00 	0.91 	-0.56 	1.53 	-0.99 	-3.34 	-0.46 	1.65 	3.63 	3.51 	0.65 	-0.52 	2.10 	0.76 	2.20 	0.13 	-0.42 	2.63 	-0.08 	0.90 	0.53 	0.38 	-0.63 	-0.19 	1.08 	-1.65 	-1.23 	-0.56 	1.96 	4.35 	5.03 	1.41 	-5.34 	-6.03 	-4.17 	-4.37 	-5.93 	-4.33 	-2.45 	-2.55 	-6.23 	-4.39 	-5.14 	-5.78 	3.77 	7.74 	-0.96 	0.73 	2.06 	0.53 	1.12 	-2.39 	1.55 	-1.40 	0.54 	4.57 	-3.64 	-6.14 	3.10 	4.43 	-1.50 	1.62 	-0.97 	0.97 	0.17 	-0.96 	-1.76 	-3.14 	1.14 	-3.98 	-13.19 	-11.34 	-6.21 	-4.25 	-2.41 	-1.15 	1.08 	-0.67 	-0.36 	-2.10 	-3.90 	5.45 	16.22 	9.51 	8.99 	4.44 	: 
M,GWH,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1273.51 	1017.98 	1015.06 	979.29 	925.63 	955.44 	1010.72 	999.38 	: 	: 	: 	: 	1120.81 	977.24 	1154.49 	945.73 	920.33 	: 	: 	: 	: 	: 	: 	: 	1189.72 	1001.70 	1006.86 	961.19 	972.69 	933.19 	909.02 	915.01 	852.96 	926.40 	938.65 	1081.47 	1104.00 	945.99 	898.19 	797.60 	770.76 	780.61 	855.12 	817.48 	807.80 	892.81 	975.64 	1045.63 	1043.15 	924.44 	1025.02 	919.40 	832.25 	848.93 	: 	: 
M,PCH_LV_M_16-19,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-1.50 	-3.20 	-10.79 	-15.66 	-16.25 	-16.35 	-5.93 	-10.66 	-5.29 	-3.63 	3.94 	-3.31 	-6.93 	-5.40 	1.80 	-2.78 	-9.57 	-9.03 	: 	: 
M,PCH_M12_NSA,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-11.99 	-4.00 	13.74 	-3.43 	-0.57 	: 	: 	: 	: 	: 	: 	: 	6.15 	2.50 	-12.79 	1.63 	5.69 	: 	: 	: 	: 	: 	: 	: 	-7.20 	-5.56 	-10.79 	-17.02 	-20.76 	-16.35 	-5.93 	-10.66 	-5.29 	-3.63 	3.94 	-3.31 	-5.51 	-2.28 	14.12 	15.27 	7.98 	8.75 	: 	: 
M,GWH,BE	8400.00 	7932.00 	8047.00 	7547.00 	7222.00 	7029.00 	6895.00 	6833.00 	7142.00 	7576.00 	7372.00 	7502.00 	7968.00 	7116.00 	7189.00 	6422.00 	6479.00 	6388.00 	6303.00 	6438.00 	6754.00 	7276.00 	7202.00 	7794.00 	8310.00 	7458.00 	7758.00 	7057.00 	7056.00 	6919.00 	6647.00 	6672.00 	6893.00 	7372.00 	7637.00 	8392.00 	8556.00 	7301.00 	7637.00 	6783.00 	6957.00 	6718.00 	6500.00 	6621.00 	6714.00 	7136.00 	7112.00 	7551.00 	7826.00 	7877.00 	7415.00 	6849.00 	6684.00 	6475.00 	6205.00 	6218.00 	6457.00 	6766.00 	7030.00 	7412.00 	7953.00 	7037.00 	7726.00 	6923.00 	6766.00 	6489.00 	6511.00 	6498.00 	6679.00 	7194.00 	7461.00 	7551.00 	7795.00 	7058.00 	7304.00 	6738.00 	6751.00 	6484.00 	6501.00 	6511.00 	6632.00 	7151.00 	7037.00 	7595.00 	7878.00 	7220.00 	7539.00 	6798.00 	6663.00 	6566.00 	6451.00 	6610.00 	6726.00 	7198.00 	7165.00 	7290.00 	7749.00 	7293.00 	7511.00 	6833.00 	6635.00 	6491.00 	6356.00 	6564.00 	6618.00 	7095.00 	7349.00 	7704.00 	7821.64 	6778.64 	7034.12 	6480.25 	6425.01 	6322.47 	6159.81 	6283.77 	6348.50 	6842.77 	7067.31 	7439.22 	7492.47 	7130.65 	7454.69 	6427.92 	6496.64 	6355.80 	6441.42 	6385.82 	6254.32 	6773.29 	6949.91 	7194.76 	7598.43 	6688.51 	6993.84 	6391.47 	6415.35 	6132.19 	6160.42 	6242.49 	6349.65 	6826.44 	7049.16 	7199.91 	7510.72 	6995.12 	6807.62 	5787.63 	6071.53 	6117.24 	6139.20 	6364.32 	6324.41 	6736.04 	6711.45 	7225.93 	7632.04 	6760.61 	7049.71 	6548.32 	6597.59 	6433.09 	: 	: 
